Name,Local Ptype Number,FOLIO Patron Group
Conception Abbey,130,CNCPT ILL Non-MOBIUS Non-Returnable
Kansas City Art Institute,131,KCAI STUDENT
Kansas City Art Institute,132,KCAI FACULTY FULL-TIME
Kansas City Art Institute,133,KCAI STAFF
Kansas City Art Institute,134,KCAI GUEST
Kansas City Art Institute,135,KCAI FACULTY-PART TIME
Kansas City Art Institute,136,KCAI VISITING ARTIST
Kansas City Art Institute,137,None
Kansas City Art Institute,138,None
Kansas City Art Institute,139,None
Kansas City Art Institute,140,KCAI RETIRED
Kansas City Art Institute,141,KCAI INTERLIBRARY LOAN
Kansas City Art Institute,142,KCAI Student Restricted
Kansas City Art Institute,143,None
Kansas City Art Institute,144,KCAI Library Staff
Park University,151,PARK Student
Park University,152,PARK Faculty
Park University,153,PARK Staff
Park University,154,PARK Community
Park University,155,PARK Courtesy
Park University,156,PARK ILL
Park University,157,PARK Alumni
Park University,158,PARK Emeriti
Nazarene Theological Seminary,160,NTS Student
Nazarene Theological Seminary,161,NTS Faculty
Nazarene Theological Seminary,162,NTS DMin
Nazarene Theological Seminary,163,NTS Courtesy
Nazarene Theological Seminary,164,NTS ILL
Nazarene Theological Seminary,165,NTS Community
Nazarene Theological Seminary,166,NTS Alumni
Nazarene Theological Seminary,167,NTS Praxis
Kansas City University,170,KCU Students
Kansas City University,171,KCU Faculty
Kansas City University,172,KCU Staff
Kansas City University,173,KCU ILL
Kansas City University,174,KCU Special
Kansas City University,175,KCU Residents
Kansas City University,176,KCU Joplin Students
Kansas City University,177,KCU Joplin Faculty
Kansas City University,178,KCU Joplin Staff
Kansas City University,179,KCU Joplin Residents
Northwest Missouri State University,180,NWMSU NW Undergraduate Student
Northwest Missouri State University,181,NWMSU Graduate Student
Northwest Missouri State University,182,NWMSU NW Staff
Northwest Missouri State University,183,NWMSU NW Staff
Northwest Missouri State University,184,NWMSU Faculty
Northwest Missouri State University,185,NWMSU Alumni
Northwest Missouri State University,186,NWMSU NWM Family
Northwest Missouri State University,187,NWMSU Maryville Public Library
Northwest Missouri State University,188,NWMSU Special Borrower
Northwest Missouri State University,189,NWMSU ILL
Northwest Missouri State University,190,NWMSU Student
Northwest Missouri State University,192,None
Northwest Missouri State University,194,NWMSU Retiree
Kansas City Kansas Community College,261,KCKCC Employee
Kansas City Kansas Community College,262,KCKCC Student
Kansas City Kansas Community College,263,KCKCC Community
Kansas City Kansas Community College,264,KCKCC Alumni
Benedictine College,271,BC Student
Benedictine College,272,BC Faculty
Benedictine College,273,BC Staff
Benedictine College,274,BC Monastic
Benedictine College,275,BC Public
Benedictine College,276,BC ILL
Calvary University,281,CU Faculty/Staff
Calvary University,282,CU Guest/Alumni
Calvary University,283,CU Student
Crowder College,1,CROW Student
Crowder College,2,CROW Faculty
Crowder College,3,CROW Staff
Crowder College,4,CROW Guest
Crowder College,5,CROW ILL
Crowder College,6,CROW Booking Test
Drury University,26,DU Student
Drury University,27,DU Alumni
Drury University,28,DU Faculty
Drury University,29,DU Staff
Drury University,32,DU Other
Drury University,33,DU Adjunct
Missouri Southern State University,51,MSSU Undergraduate
Missouri Southern State University,52,MSSU Faculty
Missouri Southern State University,53,MSSU Staff
Missouri Southern State University,54,MSSU Community
Missouri Southern State University,55,MSSU ILL
Missouri Southern State University,56,MSSU VIPS
Missouri Southern State University,57,MSSU Area Students
Missouri Southern State University,58,None
Missouri Southern State University,59,None
Missouri Southern State University,60,None
Missouri Southern State University,61,None
Missouri Southern State University,62,MSSU In-House
Missouri Southern State University,63,MSSU Graduate Student
Missouri Southern State University,64,MSSU Friend
Ozarks Technical Community College,76,OTC Student
Ozarks Technical Community College,77,OTC Faculty-Staff
Ozarks Technical Community College,78,None
Ozarks Technical Community College,79,OTC Community
Ozarks Technical Community College,80,None
Ozarks Technical Community College,81,None
Southwest Baptist University,101,SBU Undergraduate
Southwest Baptist University,102,SBU Graduate
Southwest Baptist University,103,SBU Faculty Full Time
Southwest Baptist University,104,SBU Faculty Retired
Southwest Baptist University,105,None
Southwest Baptist University,106,None
Southwest Baptist University,107,SBU Staff
Southwest Baptist University,108,SBU Guest Adult
Southwest Baptist University,109,None
Southwest Baptist University,110,SBU ILL
Southwest Baptist University,111,None
Southwest Baptist University,112,None
Southwest Baptist University,113,None
Southwest Baptist University,114,SBU Student Correspondence
Southwest Baptist University,115,None
Southwest Baptist University,116,None
Cottey College,150,COTT Admin
Cottey College,151,COTT Alumnae
Cottey College,152,COTT Emeritus Faculty
Cottey College,153,COTT Retired Staff
Cottey College,154,COTT Faculty
Cottey College,155,COTT Family
Cottey College,156,COTT 1st Year
Cottey College,157,COTT ILL
Cottey College,158,COTT PEO
Cottey College,159,COTT 2nd Year
Cottey College,160,COTT Staff
Cottey College,162,COTT Public
Cottey College,163,COTT Nevada R-V Teacher
Cottey College,164,COTT 3rd Year
Cottey College,165,COTT 4th Year
Evangel University,170,EU Masters Student
Evangel University,171,EU Faculty & Administration
Evangel University,172,EU Staff
Evangel University,173,EU Adjunct Faculty
Evangel University,174,EU Alumni
Evangel University,175,None
Evangel University,176,EU Doctoral Student
Evangel University,177,EU ILL
Evangel University,178,EU Guest
Evangel University,179,EU Classroom Assignment
Evangel University,180,None
Evangel University,181,EU Undergraduate Student
Evangel University,182,EU Reciprocal Borrower
Evangel University,183,EU Global Faculty
Evangel University,184,EU Temp
Ozark Christian College,185,OCC Residential
Ozark Christian College,186,None
Ozark Christian College,187,OCC Faculty
Ozark Christian College,188,OCC Staff
Ozark Christian College,189,OCC Affiliates
Ozark Christian College,190,OCC Graduate
Ozark Christian College,191,None
Ozark Christian College,192,None
Ozark Christian College,193,OCC Online
Ozark Christian College,194,OCC Alumni
Southwestern Baptist Theological Seminary,1,SWBTS Student
Southwestern Baptist Theological Seminary,2,SWBTS Doctoral Student
Southwestern Baptist Theological Seminary,3,None
Southwestern Baptist Theological Seminary,4,SWBTS ATLA/ACL Reciprocal
Southwestern Baptist Theological Seminary,5,SWBTS Texshare
Southwestern Baptist Theological Seminary,6,SWBTS Guest/Family Member
Southwestern Baptist Theological Seminary,7,None
Southwestern Baptist Theological Seminary,8,SWBTS Alumni
Southwestern Baptist Theological Seminary,9,SWBTS VIP
Southwestern Baptist Theological Seminary,10,SWBTS Faculty
Southwestern Baptist Theological Seminary,11,SWBTS Adjunct Family
Southwestern Baptist Theological Seminary,12,SWBTS Staff
Southwestern Baptist Theological Seminary,13,None
Southwestern Baptist Theological Seminary,14,SWBTS Librarians
Southwestern Baptist Theological Seminary,15,SWBTS ILL
Southwestern Baptist Theological Seminary,16,None
Southwestern Baptist Theological Seminary,17,None
Southwestern Baptist Theological Seminary,18,SWBTS Emeritus
